Student_ID,Course_Name,Placement_Status,Company_Name,Position,City,Package_LPA,Degree_Marks
STU1000,MCA,Placed,Wipro,Data Analyst,Kolkata,3.86,50.57
STU1001,MBA,Placed,Accenture,Software Engineer,Kolkata,4.68,65.42
STU1002,BBA,Placed,None,Data Analyst,None,16.8,50.08
STU1003,B.Sc,Placed,Google,Intern,Mumbai,18.35,88.08
STU1004,MCA,Placed,Infosys,Project Manager,None,12.93,65
STU1005,B.Sc,Placed,Infosys,Business Analyst,None,24.73,56.57
STU1006,BCA,Placed,None,Intern,Chennai,6.81,70.28
STU1007,B.Tech,Not Placed,None,None,None,0,73.05
STU1008,MBA,Placed,Google,Intern,Mumbai,15.74,81.53
STU1009,B.Com,Placed,Accenture,Business Analyst,Delhi,18.99,83
STU1010,BCA,Placed,Infosys,Intern,Mumbai,12.83,52.12
STU1011,B.Tech,Not Placed,None,None,None,0,65.62
STU1012,B.Sc,Placed,Wipro,Consultant,Bangalore,15.77,70.33
STU1013,M.Tech,Placed,Infosys,Consultant,Delhi,21.05,80.1
STU1014,MBA,Not Placed,None,None,None,0,77.74
STU1015,MCA,Placed,Accenture,Software Engineer,Chennai,22.12,60.67
STU1016,B.Tech,Placed,Amazon,Data Analyst,Kolkata,12.07,60.34
STU1017,B.Com,Placed,None,Project Manager,Bangalore,8.51,55.38
STU1018,BCA,Placed,Accenture,Intern,Delhi,20.74,76.08
STU1019,MBA,Not Placed,None,None,None,0,51.1
STU1020,BBA,Placed,Amazon,Project Manager,Delhi,17.94,58
STU1021,MBA,Placed,TCS,Intern,Pune,24.51,69.58
STU1022,MCA,Placed,Tech Mahindra,Business Analyst,Hyderabad,6.58,84.96
STU1023,B.Tech,Not Placed,None,None,None,0,78.47
STU1024,MBA,Placed,Amazon,Data Analyst,Delhi,5.18,78.27
STU1025,MCA,Placed,TCS,Consultant,Delhi,18.45,64.27
STU1026,BBA,Placed,Accenture,Intern,Kolkata,23.71,70.06
STU1027,B.Sc,Placed,Google,Project Manager,Hyderabad,3.26,82.59
STU1028,MBA,Not Placed,None,None,None,0,79.89
STU1029,B.Tech,Not Placed,None,None,None,0,56.27
STU1030,B.Sc,Placed,Amazon,Intern,Mumbai,15.76,89.74
STU1031,M.Tech,Not Placed,None,None,None,0,86.88
STU1032,B.Tech,Placed,Amazon,Data Analyst,Delhi,18.41,77.48
STU1033,MBA,Placed,None,Project Manager,None,6.98,70.84
STU1034,MCA,Placed,Tech Mahindra,Consultant,None,23.47,68.79
STU1035,B.Tech,Not Placed,None,None,None,0,77.47
STU1036,B.Tech,Placed,TCS,Project Manager,Delhi,6.54,79.81
STU1037,B.Tech,Placed,Accenture,Intern,Bangalore,5.46,63.58
STU1038,BBA,Not Placed,None,None,None,0,71.77
STU1039,MBA,Placed,None,Data Analyst,Chennai,18.61,80.76
STU1040,BBA,Placed,Tech Mahindra,Business Analyst,Pune,6.4,89.42
STU1041,BBA,Not Placed,None,None,None,0,67.82
STU1042,M.Tech,Placed,Tech Mahindra,Business Analyst,Pune,15.78,90.48
STU1043,B.Sc,Placed,Google,Project Manager,Hyderabad,16.77,78.77
STU1044,MBA,Not Placed,None,None,None,0,61.64
STU1045,M.Tech,Not Placed,None,None,None,0,71.2
STU1046,MBA,Placed,Tech Mahindra,Project Manager,Kolkata,14.58,58.88
STU1047,B.Tech,Placed,TCS,Software Engineer,Mumbai,20.79,72.01
STU1048,MCA,Placed,TCS,Intern,Mumbai,15.41,92.56
STU1049,B.Sc,Placed,Infosys,Software Engineer,Hyderabad,13.86,59.38
STU1050,B.Tech,Not Placed,None,None,None,0,92.77
STU1051,B.Tech,Not Placed,None,None,None,0,74.05
STU1052,BCA,Not Placed,None,None,None,0,52.06
STU1053,BBA,Placed,None,Project Manager,Mumbai,8.48,70.55
STU1054,BCA,Placed,Google,Data Analyst,Bangalore,4.42,93.28
STU1055,MCA,Placed,Google,Business Analyst,Mumbai,3.47,75.45
STU1056,BBA,Placed,TCS,Software Engineer,Kolkata,10.9,88.25
STU1057,MBA,Placed,Tech Mahindra,Business Analyst,Kolkata,9.5,63.18
STU1058,MBA,Placed,Wipro,Project Manager,Kolkata,23.98,74.08
STU1059,MBA,Placed,Amazon,Data Analyst,Mumbai,21.17,75.38
STU1060,B.Sc,Placed,Accenture,Consultant,Pune,7.74,59.38
STU1061,M.Tech,Not Placed,None,None,None,0,61.54
STU1062,BCA,Not Placed,None,None,None,0,81.6
STU1063,MBA,Placed,Google,Project Manager,None,13.34,59.28
STU1064,BCA,Placed,None,Data Analyst,Chennai,6.39,81.17
STU1065,BCA,Placed,Google,Business Analyst,Chennai,4.71,77.42
STU1066,B.Sc,Placed,Google,Data Analyst,Pune,16.5,90.23
STU1067,MBA,Not Placed,None,None,None,0,83.19
STU1068,B.Sc,Not Placed,None,None,None,0,57.96
STU1069,BBA,Placed,Wipro,Business Analyst,Mumbai,14.88,83.49
STU1070,B.Tech,Placed,Infosys,Data Analyst,Bangalore,18.71,73.83
STU1071,MCA,Placed,TCS,Data Analyst,None,16.71,90.81
STU1072,M.Tech,Placed,Wipro,Data Analyst,Pune,7.95,67.56
STU1073,BBA,Not Placed,None,None,None,0,94.89
STU1074,BBA,Placed,Tech Mahindra,Software Engineer,Hyderabad,7.91,91.99
STU1075,MBA,Placed,None,Data Analyst,Pune,24.25,55.65
STU1076,M.Tech,Placed,Wipro,Consultant,Delhi,6.49,94.96
STU1077,BBA,Placed,TCS,Data Analyst,Chennai,18.91,51.96
STU1078,M.Tech,Not Placed,None,None,None,0,81.2
STU1079,BBA,Not Placed,None,None,None,0,60.62
STU1080,B.Tech,Not Placed,None,None,None,0,70.82
STU1081,B.Com,Not Placed,None,None,None,0,68.41
STU1082,MCA,Placed,Wipro,Consultant,None,22.72,91.94
STU1083,B.Tech,Not Placed,None,None,None,0,59.5
STU1084,B.Sc,Placed,Amazon,Data Analyst,Chennai,18.97,79.28
STU1085,B.Com,Placed,None,Business Analyst,Kolkata,3.18,70.36
STU1086,M.Tech,Placed,Wipro,Consultant,Delhi,22.03,86.31
STU1087,MBA,Placed,TCS,Intern,None,4.15,77.56
STU1088,MBA,Placed,Accenture,Data Analyst,Hyderabad,14.36,90.82
STU1089,BCA,Placed,Tech Mahindra,Project Manager,Hyderabad,7.42,57.66
STU1090,B.Sc,Placed,Amazon,Intern,None,7.48,59.19
STU1091,B.Sc,Placed,TCS,Intern,Kolkata,13.64,66.02
STU1092,MCA,Placed,Tech Mahindra,Consultant,Bangalore,23.23,82.67
STU1093,MCA,Placed,Amazon,Project Manager,Delhi,7.86,72.47
STU1094,B.Sc,Placed,None,Intern,Bangalore,14.71,63.34
STU1095,B.Com,Not Placed,None,None,None,0,93.23
STU1096,B.Tech,Not Placed,None,None,None,0,89.85
STU1097,B.Tech,Placed,Tech Mahindra,Project Manager,Pune,15.71,67.6
STU1098,MBA,Placed,Wipro,Software Engineer,Bangalore,10.33,75.7
STU1099,BCA,Placed,None,Consultant,None,21.57,68.73
STU1100,B.Tech,Not Placed,None,None,None,0,76.58
STU1101,B.Tech,Placed,TCS,Data Analyst,Bangalore,8.35,50.86
STU1102,BBA,Not Placed,None,None,None,0,71.18
STU1103,B.Tech,Not Placed,None,None,None,0,82.44
STU1104,MCA,Placed,None,Software Engineer,Bangalore,13.54,74.85
STU1105,BBA,Placed,TCS,Project Manager,Bangalore,11.82,89.62
STU1106,MCA,Not Placed,None,None,None,0,81.93
STU1107,MBA,Not Placed,None,None,None,0,74.02
STU1108,MBA,Not Placed,None,None,None,0,84.05
STU1109,MBA,Placed,Google,Software Engineer,Kolkata,20.17,83.41
STU1110,BCA,Placed,None,Consultant,None,3.2,90.49
STU1111,B.Sc,Not Placed,None,None,None,0,59.52
STU1112,MBA,Not Placed,None,None,None,0,65.71
STU1113,MBA,Not Placed,None,None,None,0,86.56
STU1114,B.Sc,Placed,Google,Consultant,Pune,23.51,93.84
STU1115,M.Tech,Not Placed,None,None,None,0,74.57
STU1116,M.Tech,Placed,TCS,Intern,Hyderabad,10.32,60.07
STU1117,M.Tech,Not Placed,None,None,None,0,56.7
STU1118,BBA,Placed,Accenture,Project Manager,None,18.74,57.37
STU1119,BBA,Not Placed,None,None,None,0,80.15
STU1120,BBA,Placed,TCS,Intern,Hyderabad,11.41,54.12
STU1121,B.Sc,Placed,Infosys,Project Manager,Mumbai,23.87,92.03
STU1122,MCA,Placed,Wipro,Software Engineer,Hyderabad,18.41,72.35
STU1123,B.Sc,Not Placed,None,None,None,0,91.9
